pokemon_ability_id,short_effect,language,effect
37,Verdoppelt den attack im Kampf.,"{'name': 'de', 'url': 'https://pokeapi.co/api/v2/language/6/'}",Solange sich ein Pokémon mit dieser Fähigkeit im Kampf befindet ist sein attack doppelt so hoch wie sonst. Dieser Bonus zählt nicht als stat modifier. Diese Fähigkeit ist identisch mit pure power.
37,Doubles Attack in battle.,"{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}",This Pokémon's Attack is doubled while in battle. This bonus does not count as a stat modifier. This ability functions identically to pure power.
38,Hat eine 30% Chance den Gegner bei Kontakt zu vergiften.,"{'name': 'de', 'url': 'https://pokeapi.co/api/v2/language/6/'}","Wenn ein Pokémon mit dieser Fähigkeit von einer Attacke mit Kontakt getroffen wird, besteht eine 30% Chance den Angreifer zu vergiften."
38,Has a 30% chance of poisoning attacking Pokémon on contact.,"{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}","Whenever a move makes contact with this Pokémon, the move's user has a 30% chance of being poisoned."
39,Verhindert zurückschrecken.,"{'name': 'de', 'url': 'https://pokeapi.co/api/v2/language/6/'}",Ein Pokémon mit dieser Fähigkeit kann nicht zurückschrecken.
39,Prevents flinching.,"{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}",This Pokémon cannot flinch.
40,Verhindert einfrieren.,"{'name': 'de', 'url': 'https://pokeapi.co/api/v2/language/6/'}","Ein Pokémon mit dieser Fähigkeit kann nicht einfrieren. Erhält ein eingefrorenes Pokémon diese Fähigkeit, taut es sofort auf. Das bezieht das Wiedererlangen dieser Fähigkeit nach dem Kampf mit ein. Außerhalb vom Kampf: Wenn ein Pokémon im Team diese Fähigkeit hat, wird der hatch counter um 2 statt um 1 pro step cycle reduziert, was dazu führt, dass Eier doppelt so schnell schlüpfen. Dieser Effekt stapelt sich nicht, wenn mehrere Pokémon diese Fähigkeit oder flame body haben."
40,Prevents freezing.,"{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}","This Pokémon cannot be frozen. If a Pokémon is frozen and acquires this ability, it will immediately thaw out; this includes when regaining a lost ability upon leaving battle. Overworld: If any Pokémon in the party has this ability, each egg in the party has its hatch counter decreased by 2 (rather than 1) each step cycle, making eggs hatch roughly twice as quickly. This effect does not stack if multiple Pokémon have this ability or flame body."
41,Verhindert burn.,"{'name': 'de', 'url': 'https://pokeapi.co/api/v2/language/6/'}","Ein Pokémon mit dieser Fähigkeit kann keine burn erleiden. Wenn ein Pokémon mit burn diese Fähigkeit erhält, wird es von der burn geheilt. Das bezieht das Wiedererlangen dieser Fähigkeit nach dem Kampf mit ein."
41,Prevents burns.,"{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}","This Pokémon cannot be burned. If a Pokémon is burned and acquires this ability, its burn is healed; this includes when regaining a lost ability upon leaving battle."
42,"Verhindert, dass steel Pokémon fliehen oder ausgetauscht werden können.","{'name': 'de', 'url': 'https://pokeapi.co/api/v2/language/6/'}","Solange sich ein Pokémon mit dieser Fähigkeit im Kampf befindet, werden steel Pokémon daran gehindert zu fliehen oder ausgetauscht zu werden. Pokémon mit der Fähigkeit run away können trotzdem fliehen. Pokémon können trotzdem mit Hilfe von bestimmten Items oder Attacken ausgetauscht werden. Außerhalb vom Kampf: Wenn ein Pokémon mit dieser Fähigkeit an erster Stelle im Team steht, erhöht sich die Chance wilden steel Pokémon zu begegnen."
42,Prevents steel opponents from fleeing or switching out.,"{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}","While this Pokémon is in battle, opposing steel-type Pokémon cannot flee or switch out. Pokémon with run away can still flee. Pokémon can still switch out with the use of a move or item. Overworld: If the lead Pokémon has this ability, Steel-type Pokémon have a higher encounter rate."
43,Schütz vor Schall Attacken.,"{'name': 'de', 'url': 'https://pokeapi.co/api/v2/language/6/'}","Pokémon mit dieser Fähigkeit sind immun gegen Attacken die schallbasiert sind. heal bell wird nicht verhindert. uproar hindert die Pokémon trotzdem am einschlafen. Dieses Pokémon kann trotzdem einen perish song Zähler durch baton pass erhalten, und es wird einen Zähler behalten, wenn es die Fähigkeit nach Einsatz von perish song erhalten hat. howl, roar of time, sonic boom und yawn sind keine schallbasierten Attacken."
43,Protects against sound-based moves.,"{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}","This Pokémon is immune to moves flagged as being sound-based. heal bell is unaffected. uproar still prevents this Pokémon from sleeping. This Pokémon can still receive a Perish Song counter through baton pass, and will retain a Perish Song counter if it acquires this ability after Perish Song is used. howl, roar of time, sonic boom, and yawn are not flagged as sound-based."
44,Heilt jede Runde 1/16 der maximalen hp wenn es regnet.,"{'name': 'de', 'url': 'https://pokeapi.co/api/v2/language/6/'}",Pokémon mit dieser Fähigkeit heilen am Ende jeder Runde 1/16 ihrer maximalen hp wenn es regnet.
44,Heals for 1/16 max HP after each turn during rain.,"{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}",This Pokémon heals for 1/16 of its maximum HP after each turn during rain.
45,Beschwört beim Betreten des Kampfes einen sandstorm herauf der nicht endet.,"{'name': 'de', 'url': 'https://pokeapi.co/api/v2/language/6/'}","Das weather ändert sich zu sandstorm wenn ein Pokémon mit dieser Fähigkeit den Kampf betritt und hört erst auf, wenn es von einem anderen weather abgelöst wird. Wenn mehrere Pokémon mit dieser Fähigkeit, drizzle, drought oder snow warning zur selben Zeit den Kampf betreten, werden die Fähigkeiten nach Reihenfolge der speed der Pokémon ausgelöst, unter Berücksichtigung von trick room. Außerhalb vom Kampf: Wenn ein Pokémon mit dieser Fähigkeit an erster Stelle im Team steht, tauchen im Sandsturm nur halb so viele Pokémon auf."
45,Summons a sandstorm that lasts indefinitely upon entering battle.,"{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}","The weather changes to a sandstorm when this Pokémon enters battle and does not end unless cancelled by another weather condition. If multiple Pokémon with this ability, drizzle, drought, or snow warning are sent out at the same time, the abilities will activate in order of Speed, respecting trick room. Each ability's weather will cancel the previous weather, and only the weather summoned by the slowest of the Pokémon will stay. Overworld: If the lead Pokémon has this ability, the wild encounter rate is halved in a sandstorm."
46,Erhöht die pp Kosten des Gegners um 1.,"{'name': 'de', 'url': 'https://pokeapi.co/api/v2/language/6/'}","Attacken die ein Pokémon mit dieser Fähigkeit zum Ziel haben, kosten 1 pp mehr als sonst. Die Fähigkeit löst für jeden Treffer von Attacken die öfters treffen aus. Die Fähigkeit löst auch bei Attacken aus die fehlschlagen oder daneben gehen. Der Effekt zählt nicht für Attacken desselben Teams die das Ganze Feld oder nur die eigene Seite treffen, sowie die eigenen Attacken die sich selbst treffen. Der Effekt löst dafür bei Attacken von Teammitgliedern aus die nur das Pokémon mit dieser Fähigkeit zum Ziel haben, die alle anderen zum Ziel haben und Attacken von Gegnern die das ganze Feld treffen. Wenn diese Fähigkeit die Kosten auf einen Wert erhöht, der die verbleibenden pp übersteigt, wird es alle verbrauchen. Wenn ein Pokémon mit dieser Fähigkeit den Kampf betritt, werden alle Trainer über diese Fähigkeit benachrichtigt. Außerhalb vom Kampf: Wenn ein Pokémon mit dieser Fähigkeit an erster Stelle im Team steht, tauchen Pokémon mit einem höheren Level häufiger auf."
46,Increases the PP cost of moves targetting the Pokémon by one.,"{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}","Moves targetting this Pokémon use one extra PP. This ability stacks if multiple targets have it. This ability still affects moves that fail or miss. This ability does not affect ally moves that target either the entire field or just its side, nor this Pokémon's self-targetted moves; it does, however, affect single-targetted ally moves aimed at this Pokémon, ally moves that target all other Pokémon, and opponents' moves that target the entire field. If this ability raises a move's PP cost above its remaining PP, it will use all remaining PP. When this Pokémon enters battle, all participating trainers are notified that it has this ability. Overworld: If the lead Pokémon has this ability, higher-levelled Pokémon have their encounter rate increased."
47,Halbiert den Schaden von fire und ice Attacken.,"{'name': 'de', 'url': 'https://pokeapi.co/api/v2/language/6/'}",Pokémon mit dieser Fähigkeit erhält von fire und ice Attacken nur halben Schaden.
47,Halves damage from fire and ice moves.,"{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}",This Pokémon takes half as much damage from fire- and ice-type moves.
48,Pokémon wachen doppelt so schnell wieder auf.,"{'name': 'de', 'url': 'https://pokeapi.co/api/v2/language/6/'}",Bei Pokémon mit dieser Fähigkeit sinkt die Anzahl der Verbleibenden Runden im Schlaf pro Runde um 2 statt um 1. Wenn der Zähler bei 1 ist fällt er auf 0 und das Pokémon wacht auf.
48,Makes sleep pass twice as quickly.,"{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}","This Pokémon's remaining sleep turn count falls by 2 rather than 1. If this Pokémon's sleep counter is at 1, it will fall to 0 and then the Pokémon will wake up."
49,"Hat eine 30% Chance, bei Kontakt burn auszulösen.","{'name': 'de', 'url': 'https://pokeapi.co/api/v2/language/6/'}","Wenn ein Pokémon mit dieser Fähigkeit von einer Attacke getroffen wird die Kontakt herstellt, besteht eine 30% Chance, den Gegner zu verbrennen. Außerhalb vom Kampf: Wenn ein Pokémon im Team diese Fähigkeit hat, wird der hatch counter um 2 statt um 1 pro step cycle reduziert, was dazu führt, dass Eier doppelt so schnell schlüpfen. Dieser Effekt stapelt sich nicht, wenn mehrere Pokémon diese Fähigkeit oder magma armor haben."
49,Has a 30% chance of burning attacking Pokémon on contact.,"{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}","Whenever a move makes contact with this Pokémon, the move's user has a 30% chance of being burned. Overworld: If any Pokémon in the party has this ability, each egg in the party has its hatch counter decreased by 2 (rather than 1) each step cycle, making eggs hatch roughly twice as quickly. This effect does not stack if multiple Pokémon have this ability or magma armor."
50,"Stellt sicher, dass die Flucht vor wilden Pokémon gelingt.","{'name': 'de', 'url': 'https://pokeapi.co/api/v2/language/6/'}","Pokémon mit dieser Fähigkeit können immer aus Kämpfen mit wilden Pokémon fliehen, selbst wenn es durch eine Attacke oder eine Fähigkeit gefangen ist."
50,Ensures success fleeing from wild battles.,"{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}","This Pokémon is always successful fleeing from wild battles, even if trapped by a move or ability."
51,Verhindert das Absenken der accuracy.,"{'name': 'de', 'url': 'https://pokeapi.co/api/v2/language/6/'}","Pokémon mit dieser Fähigkeit kann die accuracy nicht gesenkt werden. Die Fähigkeit verhindert nur direkte Statuswertveränderungen, der Genauigkeitsverlust durch fog wird nicht verhindert, auch nicht das Erhöhen des Fluchtwerts des Gegners. Pokémon mit dieser Fähigkeit kann trotzdem negative accuracy durch heart swap übertragen werden. Außerhalb vom Kampf: Wenn das erste Pokémon im Team diese Fähigkeit hat, dann hat jede Begegnung mit einem Pokémon das 5 oder mehr Level niedriger ist, eine Chance von 50% übersprungen zu werden."
51,Prevents accuracy from being lowered.,"{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}","This Pokémon cannot have its accuracy lowered. This ability does not prevent any accuracy losses other than stat modifiers, such as the accuracy cut from fog; nor does it prevent other Pokémon's evasion from making this Pokémon's moves less accurate. This Pokémon can still be passed negative accuracy modifiers through heart swap. Overworld: If the first Pokémon in the party has this ability, any random encounter with a Pokémon five or more levels lower than it has a 50% chance of being skipped."
52,Verhindert das Absenken des Angriffs.,"{'name': 'de', 'url': 'https://pokeapi.co/api/v2/language/6/'}","Pokémon mit dieser Fähigkeit kann der attack nicht gesenkt werden. Die Fähigkeit verhindert nur Statuswertveränderungen, der verminderte attack durch burn wird nicht verhindert. Pokémon mit dieser Fähigkeit können trotzdem negative accuracy durch heart swap oder power swap übertragen werden."
52,Prevents Attack from being lowered by other Pokémon.,"{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}","This Pokémon's Attack cannot be lowered by other Pokémon. This ability does not prevent any Attack losses other than stat modifiers, such as the Attack cut from a burn. This Pokémon can still be passed negative Attack modifiers through heart swap or power swap."
53,Hebt benutzte oder weggeschleuderte getragene Items von anderen Pokémon auf. Kann nach dem Kampf ein Item aufheben.,"{'name': 'de', 'url': 'https://pokeapi.co/api/v2/language/6/'}","Wenn ein Pokémon mit dieser Fähigkeit nicht bereits ein Item hält und ein anderes Pokémon ein getragenes Item verbraucht oder wegschleudert, hebt es das Item am Ende der Runde auf. Nach jedem Kampf besteht eine 10% Chance, dass das Pokémon ein Item aufhebt wenn es nicht bereits eines trägt. air balloon und eject button können nicht aufgehoben werden. Die gefundenen Items variieren je nach Spiel und, seit Smaragd, dem Level des Pokémons mit dieser Fähigkeit. Die Fähigkeit wird überprüft wenn der Kampf endet und temporär erlangte Fähigkeiten wieder weg sind."
53,Picks up other Pokémon's used and Flung held items.  May also pick up an item after battle.,"{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}","At the end of each turn, if another Pokémon consumed or Flung a held item that turn, this Pokémon picks up the item if it is not already holding one. After each battle, this Pokémon has a 10% chance of picking up an item if it is not already holding one. The air balloon and eject button cannot be picked up. The items that may be found vary by game, and, since Pokémon Emerald, by the Pokémon's level. This ability is checked after the battle ends, at which point any temporary ability changes have worn off."
54,Überspringt jede zweite Runde.,"{'name': 'de', 'url': 'https://pokeapi.co/api/v2/language/6/'}","Pokémon mit dieser Fähigkeit überspringen jede zweite Runde statt eine Attacke einzusetzen (""faulenzen""). Faulenzen unterbricht Attacken die über mehrere Runden gehen genauso wie paralysis, Zurückschrecken usw. Die meisten dieser Attacken, wie bide oder rollout, werden einfach abgebrochen, wenn das Pokémon faulenzt. Attacken nach denen eine Runde aufgeladen werden muss, wie hyper beam, müssen nicht aufgeladen werden, Attacken mit Vorbereitungsrunde, wie fly, werden nicht abgebrochen. Attacken die mehrere Runden dauern aber bei einem Fehlschlag nicht enden, wie outrage, uproar, oder jede von encore erzwungene Attacke, enden nicht, wenn das Pokémon faulenzt. Wenn das Pokémon verwirrt ist, wird die confusion nicht beachtet beim Faulenzen, das Pokémon verletzt sich nicht selbst und die confusion endet nicht früher deswegen. Wenn das Pokémon versucht sich zu bewegen aber von paralysis oder gravity daran gehindert wird, zählt das trotzdem als erfolgreich und es wird die nächste Runde faulenzen. Wenn es nicht versucht sich zu bewegen, weil es beispielsweise schläft oder eingefroren ist, wird das was es versucht hat verschoben bis zum nächsten Versuch, der eine Attacke oder faulenzen sein kann, abhängig davon, was es zuletzt tat. Diese Fähigkeit kann nicht mit worry seed ausgetauscht werden, aber mit gastro acid deaktiviert, mit role play geändert oder mit skill swap getauscht werden."
54,Skips every second turn.,"{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}","Every second turn on which this Pokémon should attempt to use a move, it will instead do nothing (""loaf around""). Loafing around interrupts moves that take multiple turns the same way paralysis, flinching, etc do. Most such moves, for example bide or rollout, are simply cut off upon loafing around. Attacks with a recharge turn, such as hyper beam, do not have to recharge; attacks with a preparation turn, such as fly, do not end up being used. Moves that are forced over multiple turns and keep going through failure, such as outrage, uproar, or any move forced by encore, keep going as usual. If this Pokémon is confused, its confusion is not checked when loafing around; the Pokémon cannot hurt itself, and its confusion does not end or come closer to ending. If this Pokémon attempts to move but fails, e.g. because of paralysis or gravity, it still counts as having moved and will loaf around the next turn. If it does not attempt to move, e.g. because it is asleep or frozen, whatever it would have done will be postponed until its next attempt; that is, it will either loaf around or move as usual, depending on what it last did. This ability cannot be changed with worry seed, but it can be disabled with gastro acid, changed with role play, or traded away with skill swap."
55,"Erhöht den Schaden von physischen Attacken um 50%, aber senkt ihre accuracy auf 80% ihres sonstigen Werts.","{'name': 'de', 'url': 'https://pokeapi.co/api/v2/language/6/'}","Physische Attacken von Pokémon mit dieser Fähigkeit verursachen 1,5× so viel Schaden wie sonst, haben dafür aber nur 80% ihrer normalen accuracy. Spezialattacken werden nicht beeinflusst. Attacken die festen Schaden verursachen wie seismic toss haben ihren normalen Schaden aber die verringerte accuracy. Außerhalb vom Kampf: Wenn ein Pokémon mit dieser Fähigkeit an erster Stelle im Team steht, tauchen Pokémon mit einem höheren Level häufiger auf."
55,"Strengthens physical moves to inflict 1.5× damage, but decreases their accuracy to 0.8×.","{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}","This Pokémon's physical moves do 1.5× as much regular damage, but have 0.8× their usual accuracy. Special moves are unaffected. Moves that do set damage, such as seismic toss, have their accuracy affected, but not their damage. Overworld: If the lead Pokémon has this ability, higher-levelled Pokémon have their encounter rate increased."
56,Bei Kontakt besteht eine 30% Chance beim Gegner Anziehung auszulösen.,"{'name': 'de', 'url': 'https://pokeapi.co/api/v2/language/6/'}","Wenn ein Pokémon mit dieser Fähigkeit von einer Attacke mit Kontakt getroffen wird, besteht eine 30% Chance, dass beim Angreifer Anziehung ausgelöst wird. Außerhalb vom Kampf: Wenn ein Pokémon mit dieser Fähigkeit an erster Stelle im Team steht, besteht bei allen wilden Pokémon die beide Geschlechter haben können eine 2/3 Chance, vom anderen Geschlecht zu sein und eine 1/3 Chance ein zufälliges Geschlecht zu haben."
56,Has a 30% chance of infatuating attacking Pokémon on contact.,"{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}","Whenever a move makes contact with this Pokémon, the move's user has a 30% chance of being infatuated. Overworld: If the first Pokémon in the party has this ability, any wild Pokémon whose species can be either gender has a 2/3 chance of being set to the opposite gender, and a 1/3 chance of having a random gender as usual."
57,Erhöht den special attack um 50% wenn ein Team-Pokémon plus oder minus hat.,"{'name': 'de', 'url': 'https://pokeapi.co/api/v2/language/6/'}","Pokémon mit dieser Fähigkeit haben einen 1,5× so hohen special attack wenn ein Team-Pokémon die Fähigkeit plus oder minus hat. Der Bonus zählt nicht als stat modifier. Wenn eine der Fähigkeiten deaktiviert wird, z.B. von gastro acid, verlieren beide ihren Effekt."
57,Increases Special Attack to 1.5× when a friendly Pokémon has plus or minus.,"{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}","This Pokémon has 1.5× its Special Attack if any friendly Pokémon has plus or minus. This bonus does not count as a stat modifier. If either ability is disabled by gastro acid, both lose their effect."
58,Erhöht den special attack um 50% wenn ein Team-Pokémon plus oder minus hat.,"{'name': 'de', 'url': 'https://pokeapi.co/api/v2/language/6/'}","Pokémon mit dieser Fähigkeit haben einen 1,5× so hohen special attack wenn ein Team-Pokémon die Fähigkeit plus oder minus hat. Der Bonus zählt nicht als stat modifier. Wenn eine der Fähigkeiten deaktiviert wird, z.B. von gastro acid, verlieren beide ihren Effekt."
58,Increases Special Attack to 1.5× when a friendly Pokémon has plus or minus.,"{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}","This Pokémon has 1.5× its Special Attack if any friendly Pokémon has plus or minus. This bonus does not count as a stat modifier. If either ability is disabled by gastro acid, both lose their effect."
59,Ändert den Typ von castform zu dem des Wetters.,"{'name': 'de', 'url': 'https://pokeapi.co/api/v2/language/6/'}","Während es regnet, hagelt oder bei starkem Sonnenlicht, ändert sich der Typ des Pokémons zu water, ice oder fire, respektive. Außerdem ändert sich seine Form entsprechend. Die Fähigkeit hat keinen Effekt für jedes andere Pokémon außer castform. Wenn das weather endet oder sich zu einem ändert welches diese Fähigkeit nicht beeinflusst, oder wenn ein Pokémon mit air lock oder cloud nine den Kampf betritt, werden Typ und Form auf den Normalwert zurückgesetzt. Wenn die Fähigkeit deaktiviert oder ausgetauscht wird, kann das Pokémon seine Form nicht ändern, bis es sie wiedererlangt."
59,Changes castform's type and form to match the weather.,"{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}","During rain, strong sunlight, or hail, this Pokémon's type changes to water, fire, or ice, respectively, and its form changes to match. This ability has no effect for any Pokémon other than castform. If the weather ends or becomes anything that does not trigger this ability, or a Pokémon with air lock or cloud nine enters battle, this Pokémon's type and form revert to their default. If this ability is lost or disabled, this Pokémon cannot change its current type and form until it regains its ability."
60,"Verhindert, dass ein getragenes Item von einem anderen Pokémon gestohlen werden kann.","{'name': 'de', 'url': 'https://pokeapi.co/api/v2/language/6/'}","Einem Pokémon mit dieser Fähigkeit kann ein getragenes Item nicht gestohlen werden. Attacken die Schaden verursachen und Items entfernen verursachen immer noch Schaden, z.B. knock off oder pluck. Das Pokémon kann trotzdem Attacken einsetzen die eigene Items entfernen, wie z.B. fling oder trick. Außerhalb vom Kampf: Wenn ein Pokémon mit dieser Fähigkeit an erster Stelle im Team steht, erhöht sich die Erfolgsrate beim Angeln."
60,Prevents a held item from being removed by other Pokémon.,"{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}","This Pokémon's hold item cannot be removed by other Pokémon. Damaging moves that would remove this Pokémon's item can still inflict damage against this Pokémon, e.g. knock off or pluck. This Pokémon can still use moves that involve the loss of its own item, e.g. fling or trick. Overworld: If the lead Pokémon has this ability, the encounter rate while fishing is increased."
61,Nach jeder Runde besteht eine 33% Chance von einer bestehenden Statusänderung geheilt zu werden.,"{'name': 'de', 'url': 'https://pokeapi.co/api/v2/language/6/'}",Pokémon mit dieser Fähigkeit haben am Ende jeder Runde eine 33% Chance von einer bestehenden major status ailment geheilt zu werden.
61,Has a 33% chance of curing any major status ailment after each turn.,"{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}","After each turn, this Pokémon has a 33% of being cured of any major status ailment."
62,Erhöht den attack um 50% wenn das Pokémon unter einer major status ailment leidet.,"{'name': 'de', 'url': 'https://pokeapi.co/api/v2/language/6/'}","Wenn ein Pokémon mit dieser Fähigkeit schläft, brennt, paralysiert oder vergiftet ist, ist sein attack 1,5× so hoch wie sonst. Bei Verbrennung gibt es keine Halbierung des Angriffs. Der Bonus zählt nicht als Statuswerte Änderung."
62,Increases Attack to 1.5× with a major status ailment.,"{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}","Whenever this Pokémon is asleep, burned, paralyzed, or poisoned, it has 1.5× its Attack. This Pokémon is not affected by the usual Attack cut from a burn. This bonus does not count as a stat modifier."
63,Erhöht die defense um 50% wenn das Pokémon unter einer major status ailment leidet.,"{'name': 'de', 'url': 'https://pokeapi.co/api/v2/language/6/'}","Wenn ein Pokémon mit dieser Fähigkeit unter einer major status ailment leidet, hat es eine 1,5× höhere defense. Der Bonus zählt nicht als Statuswerte Änderung."
63,Increases Defense to 1.5× with a major status ailment.,"{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}","Whenever this Pokémon has a major status ailment, it has 1.5× its Defense. This bonus does not count as a stat modifier."
64,Damages opponents using leeching moves for as much as they would heal.,"{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}","Whenever a Pokémon would heal after hitting this Pokémon with a leeching move like absorb, it instead loses as many HP as it would usually gain. dream eater is unaffected."
64,"Gegnern die absorbierende Attacken einsetzen, wird Schaden in der Höhe zugefügt, die die Attacke geheilt hätte.","{'name': 'de', 'url': 'https://pokeapi.co/api/v2/language/6/'}","Wenn ein Pokémon mit dieser Fähigkeit von einer absorbierenden Attacke wie absorb getroffen wird, erleidet der Gegner so viele hp Schaden wie ihn die Attacke geheilt hätte. dream eater ist davon nicht betroffen."
65,Strengthens grass moves to inflict 1.5× damage at 1/3 max HP or less.,"{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}","When this Pokémon has 1/3 or less of its HP remaining, its grass-type moves inflict 1.5× as much regular damage."
65,Erhöht den Schaden von grass Attacken um 50% wenn nur noch 1/3 der maximalen hp oder weniger übrig sind.,"{'name': 'de', 'url': 'https://pokeapi.co/api/v2/language/6/'}","Wenn ein Pokémon mit dieser Fähigkeit nur noch 1/3 seiner maximalen hp oder weniger hat, werden all seine grass Attacken verstärkt, so dass sie 1,5× so viel regular damage anrichten wie sonst."
66,Erhöht den Schaden von fire Attacken um 50% wenn nur noch 1/3 der maximalen hp oder weniger übrig sind.,"{'name': 'de', 'url': 'https://pokeapi.co/api/v2/language/6/'}","Wenn ein Pokémon mit dieser Fähigkeit nur noch 1/3 seiner maximalen hp oder weniger hat, werden all seine fire Attacken verstärkt, so dass sie 1,5× so viel regular damage anrichten wie sonst."
66,Strengthens fire moves to inflict 1.5× damage at 1/3 max HP or less.,"{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}","When this Pokémon has 1/3 or less of its HP remaining, its fire-type moves inflict 1.5× as much regular damage."
67,Erhöht den Schaden von water Attacken um 50% wenn nur noch 1/3 der maximalen hp oder weniger übrig sind.,"{'name': 'de', 'url': 'https://pokeapi.co/api/v2/language/6/'}","Wenn ein Pokémon mit dieser Fähigkeit nur noch 1/3 seiner maximalen hp oder weniger hat, werden all seine water Attacken verstärkt, so dass sie 1,5× so viel regular damage anrichten wie sonst."
67,Strengthens water moves to inflict 1.5× damage at 1/3 max HP or less.,"{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}","When this Pokémon has 1/3 or less of its HP remaining, its water-type moves inflict 1.5× as much regular damage."
68,Erhöht den Schaden von bug Attacken um 50% wenn nur noch 1/3 der maximalen hp oder weniger übrig sind.,"{'name': 'de', 'url': 'https://pokeapi.co/api/v2/language/6/'}","Wenn ein Pokémon mit dieser Fähigkeit nur noch 1/3 seiner maximalen hp oder weniger hat, werden all seine bug Attacken verstärkt, so dass sie 1,5× so viel regular damage anrichten wie sonst. Außerhalb vom Kampf: Wenn ein Pokémon mit dieser Fähigkeit an erster Stelle im Team steht, ist die Wahrscheinlichkeit einem wilden Pokémon zu begegnen doppelt so hoch wie normal."
68,Strengthens bug moves to inflict 1.5× damage at 1/3 max HP or less.,"{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}","When this Pokémon has 1/3 or less of its HP remaining, its bug-type moves inflict 1.5× as much regular damage. Overworld: If the lead Pokémon has this ability, the wild encounter rate is increased."
69,Schützt vor Rückstoßschaden.,"{'name': 'de', 'url': 'https://pokeapi.co/api/v2/language/6/'}",Pokémon mit dieser Fähigkeit erhalten keinen Schaden vom Rückstoß diverser Attacken. Der Rückstoß von struggle wird nicht verhindert. Die Fähigkeit verhindert nicht den Schaden der vom Fehlschlag von jump kick oder high jump kick verursacht wird.
69,Protects against recoil damage.,"{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}",This Pokémon does not receive recoil damage from its recoil moves. struggle's recoil is unaffected. This ability does not prevent crash damage from missing with jump kick or high jump kick.
70,Ändert beim Betreten des Kampfes das weather in starkes Sonnenlicht.,"{'name': 'de', 'url': 'https://pokeapi.co/api/v2/language/6/'}","Das weather ändert sich zu starkem Sonnenlicht wenn ein Pokémon mit dieser Fähigkeit den Kampf betritt. Dieser Effekt ist dauerhaft bis das weather geändert wird. Wenn mehrere Pokémon mit dieser Fähigkeit, drizzle, sand stream oder snow warning zur selben Zeit den Kampf betreten, werden die Fähigkeiten nach Reihenfolge der speed der Pokémon ausgelöst, unter Berücksichtigung von trick room."
70,Summons strong sunlight that lasts indefinitely upon entering battle.,"{'name': 'en', 'url': 'https://pokeapi.co/api/v2/language/9/'}","The weather changes to strong sunlight when this Pokémon enters battle and does not end unless cancelled by another weather condition. If multiple Pokémon with this ability, drizzle, sand stream, or snow warning are sent out at the same time, the abilities will activate in order of Speed, respecting trick room. Each ability's weather will cancel the previous weather, and only the weather summoned by the slowest of the Pokémon will stay."
